Name,Land Area (mi2),PopulationDensity (mi2),Total Area (mi2)
Anderson County,1062.6,55,1078
Andrews County,1500.7,9.9,1501.1
Angelina County,797.8,108.8,864.7
Aransas County,252.1,91.9,528
Archer County,903.1,10,925.4
Armstrong County,909.1,2.1,913.8
Atascosa County,1219.5,36.8,1221.5
Austin County,646.5,44,656.4
Bailey County,826.8,8.7,827.5
Bandera County,791,25.9,797.6
Bastrop County,888.2,83.5,895.5
Baylor County,867.5,4.3,901.1
Bee County,880.2,36.2,880.3
Bell County,1051,295.2,1087.8
Bexar County,1239.8,1383.1,1256.1
Blanco County,709.3,14.8,713.4
Borden County,897.4,0.7,906.1
Bosque County,983,18.5,1002.5
Bowie County,885,104.6,923
Brazoria County,1357.7,230.7,1608.6
Brazos County,585.5,332.8,591.2
Brewster County,6183.7,1.5,6192.3
Briscoe County,900,1.8,901.6
Brooks County,943.4,7.7,943.7
Brown County,944.4,40.3,957
Burleson County,659,26.1,676.8
Burnet County,994.3,43,1021.3
Caldwell County,545.3,69.8,547.2
Calhoun County,506.8,42.2,1032.7
Callahan County,899.4,15.1,901.3
Cameron County,890.9,456,1276.5
Camp County,195.8,63.3,203.2
Carson County,920.2,6.7,924.1
Cass County,937,32.5,960.3
Castro County,894.4,9,899.3
Chambers County,597.1,58.8,871.2
Cherokee County,1052.9,48.3,1062.2
Childress County,696.4,10.1,713.7
Clay County,1088.7,9.9,1116.8
Cochran County,775.2,4,775.2
Coke County,911.5,3.6,928
Coleman County,1262,7,1281.4
Collin County,841.2,930,886.1
Collingsworth County,918.4,3.3,919.3
Colorado County,960.3,21.7,973.7
Comal County,559.5,193.9,574.9
Comanche County,937.8,14.9,947.7
Concho County,983.8,4.2,993.7
Cooke County,874.8,43.9,898.4
Coryell County,1052.1,71.7,1056.8
Cottle County,900.6,1.7,901.6
Crane County,785.1,5.6,785.7
Crockett County,2807.3,1.3,2807.3
Crosby County,900.2,6.7,901.7
Culberson County,3812.8,0.6,3813
Dallam County,1503.3,4.5,1505.3
Dallas County,871.3,2718,908.6
Dawson County,900.3,15.4,902.1
DeWitt County,909,22.1,910.5
Deaf Smith County,1496.9,12.9,1498.4
Delta County,256.8,20.4,277.9
Denton County,878.4,754.3,953
Dickens County,901.7,2.7,905.2
Dimmit County,1328.9,7.5,1334.5
Donley County,926.9,4,933
