County,Poverty_Estimate,Poverty_Percent,Median_Household_Income,Population,Unemployment_Rate,Violent_Crime,Property_Crime,Total_Crime
Anderson County,8778,19.8,45969,57735,3.1,54,350,404
Andrews County,1922,10.7,84946,18705,2.4,17,80,97
Angelina County,15052,17.9,46653,86715,4.3,96,492,588
Aransas County,4642,19.9,46912,23510,5.9,76,264,340
Archer County,922,10.6,61190,8553,3,,,
Armstrong County,197,10.7,57210,1887,2.7,,,
Atascosa County,7803,15.7,50594,51153,3.7,83,520,603
Austin County,3031,10.2,59942,30032,3.6,14,100,114
Bailey County,1087,15.8,45051,7000,4.4,10,28,38
Bandera County,3016,13.4,53008,23112,3.4,34,284,318
Bastrop County,10673,12.6,61883,88723,3.4,162,646,808
Baylor County,563,16.1,41180,3509,3.2,,,
Bee County,6607,26.7,41806,32565,5.1,31,145,176
Bell County,44865,13,54292,362924,4.1,83,683,766
Bexar County,334215,17.2,54210,2003554,3.3,627,5166,5793
Blanco County,1176,10.1,64832,11931,2.6,9,36,45
Borden County,65,10,66101,654,3.2,,,
Bosque County,2721,14.9,48460,18685,3.7,2,51,53
Bowie County,16794,19.1,47339,93245,4.9,80,349,429
Brazoria County,36342,10.1,74225,374264,4.5,171,1226,1397
Brazos County,49310,23.2,50113,229211,2.8,49,305,354
Brewster County,1475,16,45670,9203,3.3,8,13,21
Briscoe County,245,16.2,44409,1546,3.8,1,7,8
Brooks County,2183,31,30116,7093,6.4,0,0,0
Brown County,4778,13.2,47097,37864,3.7,21,153,174
Burleson County,2686,14.8,53626,18443,3.6,26,112,138
Burnet County,5099,11,56696,48155,2.9,55,175,230
Caldwell County,5850,14.1,52588,43664,3.6,33,114,147
Calhoun County,3036,14.2,52085,21290,4.1,34,93,127
Callahan County,1661,12,50330,13943,3.3,8,37,45
Cameron County,117193,27.9,38106,423163,6.1,164,937,1101
Camp County,2431,18.8,43714,13094,4.9,2,74,76
Carson County,536,8.9,64799,5926,2.8,11,36,47
Cass County,6059,20.4,44154,30026,5,39,208,247
Castro County,1328,17.5,45689,7530,2.8,2,20,22
Chambers County,3593,8.5,89513,43837,5.4,,,
Cherokee County,8623,17.4,43483,52646,4.1,85,418,503
Childress County,1180,21.2,42291,7306,2.6,0,10,10
Clay County,1125,10.9,58356,10471,3.1,25,124,149
Cochran County,609,21.9,42873,2853,4.3,,,
Coke County,469,14.1,44804,3387,3.4,,,
Coleman County,1604,19.3,39484,8175,3.9,,,
Collin County,64180,6.4,96936,1034730,3.3,76,346,422
Collingsworth County,502,17.3,39536,2920,3.1,,,
Colorado County,2845,13.7,48258,21493,3.3,12,102,114
Comal County,10498,7.1,76523,156209,3.2,,517,517
Comanche County,2180,16.4,52251,13635,3.6,2,61,63
Concho County,702,26.6,40987,2726,3.6,11,9,20
Cooke County,5914,14.8,52047,41257,3.1,16,116,132
Coryell County,9407,15,48099,75951,4.2,7,75,82
Cottle County,293,21.2,38304,1398,4.3,,,
Crane County,475,10.1,61987,4797,3.8,,,
Crockett County,529,15.3,49117,3464,2.9,3,0,3
Crosby County,1349,23.7,37911,5737,4.6,4,19,23
Culberson County,444,20.3,42164,2171,3.1,0,0,0
Dallam County,867,12.1,50587,7287,2,1,3,4
Dallas County,368310,14.2,59838,2635516,3.8,50,236,286
Dawson County,2575,22.9,43726,12728,4.3,4,51,55
Deaf Smith County,3232,17.5,44230,18546,2.8,6,53,59
Delta County,908,17.2,44410,5331,3.4,2,29,31
Denton County,62151,7.3,88384,887207,3.2,75,486,561
DeWitt County,3370,18.4,49208,20160,3.1,32,0,32
Dickens County,390,20.3,39627,2211,4.2,,,
Dimmit County,2508,24.6,37177,10124,3,9,116,125
Donley County,574,18.6,40945,3278,3.4,5,37,42
Duval County,2684,25.5,35156,11157,5.2,17,122,139
Eastland County,3269,18.7,44773,18360,3.3,2,32,34
Ector County,20485,12.9,60431,166223,2.7,109,1554,1663
Edwards County,425,22.1,37812,1932,2.8,3,21,24
Ellis County,15609,8.8,76792,184826,3.3,118,412,530
El Paso County,169120,20.5,43948,839238,4.2,243,668,911
Erath County,6988,18.1,47087,42698,3.1,34,123,157
Falls County,3331,21.7,37428,17297,3.9,17,53,70
Fannin County,4466,13.8,53111,35514,3.1,35,172,207
Fayette County,3322,13.3,55776,25346,2.8,19,111,130
Fisher County,592,15.5,45261,3830,3.2,,,
Floyd County,1218,21,39891,5712,5.2,23,36,59
Foard County,210,18,37648,1155,2.9,0,0,0
Fort Bend County,61455,7.9,92310,811688,3.9,836,3969,4805
Franklin County,1615,15.2,48222,10725,4.1,17,51,68
Freestone County,2493,13.7,49317,19717,5.8,17,109,126
Frio County,4511,27.5,41038,20306,2.8,28,57,85
Gaines County,3198,15.4,56321,21492,2.5,10,82,92
Galveston County,40109,12.1,71959,342139,4.6,128,693,821
Garza County,1096,24.6,46490,6229,2.9,7,35,42
Gillespie County,2527,9.6,61433,26988,2.5,5,47,52
Glasscock County,134,9.7,83330,1409,2,0,19,19
Goliad County,1077,14.4,55008,7658,3.8,13,95,108
Gonzales County,3465,16.9,49829,20837,3,11,100,111
Gray County,3352,16.7,49121,21886,3.9,7,97,104
Grayson County,16116,12.3,51403,136212,3.3,91,398,489
Gregg County,18108,15.1,50610,123945,4.1,67,417,484
Grimes County,4444,17.5,49498,28880,4.1,8,122,130
Guadalupe County,13716,8.5,73864,166847,3.1,71,448,519
Hale County,5715,18.4,42782,33406,4.7,26,66,92
Hall County,718,24.1,32597,2964,4.4,1,12,13
Hamilton County,1221,14.7,49210,8461,3.3,,,
Hansford County,626,11.6,57240,5399,2.3,5,9,14
Hardeman County,680,17.4,42469,3933,3.6,,,
Hardin County,7035,12.4,60909,57602,5.1,45,301,346
Harris County,767367,16.5,60241,4713325,4.4,,41708,41708
Harrison County,9584,14.7,50131,66553,4.3,61,494,555
Hartley County,429,9.5,72451,5576,1.8,1,7,8
Haskell County,1220,23.1,40880,5658,3.8,0,13,13
Hays County,28293,13.2,68180,230191,2.9,135,656,791
Hemphill County,366,9.6,66849,3819,2,1,28,29
Henderson County,15718,19.4,43337,82737,3.7,153,611,764
Hidalgo County,256985,30,38785,868707,6.5,522,3489,4011
Hill County,4460,12.6,48670,36649,3.6,50,280,330
Hockley County,4300,19.5,46764,23021,3.1,7,97,104
Hood County,6108,10.2,60917,61643,3.7,71,391,462
Hopkins County,5320,14.6,52079,37084,3.4,16,70,86
Houston County,5323,26.1,39533,22968,3.7,10,101,111
Howard County,6263,20.6,50423,36664,3.3,33,185,218
Hudspeth County,838,17.8,42671,4886,4.6,3,32,35
Hunt County,12715,13.6,53360,98594,3.8,,,
Hutchinson County,2708,13,54351,20938,4.9,15,70,85
