Latitude,Longitude,County
-95.65251774,31.81321543,Anderson County
-102.6378839,32.30506283,Andrews County
-94.611742,31.25475875,Angelina County
-96.99258951,28.12709562,Aransas County
-98.68783437,33.61539176,Archer County
-101.3572412,34.96522076,Armstrong County
-98.52741302,28.89418432,Atascosa County
-96.27791829,29.88711223,Austin County
-102.8299069,34.0684915,Bailey County
-99.24637282,29.74724753,Bandera County
-97.31187705,30.10353518,Bastrop County
-99.21351964,33.61648147,Baylor County
-97.74116811,28.41736675,Bee County
-97.47790776,31.03778267,Bell County
-98.51966309,29.44884523,Bexar County
-98.39974086,30.26636128,Blanco County
-101.4317533,32.7436916,Borden County
-97.63437613,31.90050476,Bosque County
-94.42324298,33.44572786,Bowie County
-95.45578479,29.19345387,Brazoria County
-96.3022943,30.6610425,Brazos County
-103.2518906,29.81205836,Brewster County
-101.2085769,34.53041048,Briscoe County
-98.21874127,27.0315669,Brooks County
-98.99989649,31.77432313,Brown County
-96.62109399,30.49246139,Burleson County
-98.18252382,30.78843382,Burnet County
-97.61983479,29.83677935,Caldwell County
-96.64708119,28.48966896,Calhoun County
-99.37359692,32.2977738,Callahan County
-97.51499968,26.13847728,Cameron County
-94.97860185,32.97321771,Camp County
-101.3542037,35.40346802,Carson County
-94.34348771,33.07750446,Cass County
-102.2617608,34.53000304,Castro County
-94.60891308,29.73912276,Chambers County
-95.16515234,31.83695632,Cherokee County
-100.2075664,34.52929257,Childress County
-98.208958,33.78379717,Clay County
-102.8285264,33.60410808,Cochran County
-100.5298747,31.88849293,Coke County
-99.45362579,31.77329421,Coleman County
-96.57248871,33.18789055,Collin County
-100.2700733,34.96498493,Collingsworth County
-96.52630821,29.6208542,Colorado County
-98.27814516,29.80816362,Comal County
-98.55841538,31.9490639,Comanche County
-99.86413426,31.32645211,Concho County
-97.21247642,33.638465,Cooke County
-97.7991883,31.39087578,Coryell County
-100.2786983,34.0776571,Cottle County
-102.5156425,31.42846287,Crane County
-101.4118364,30.72291931,Crockett County
-101.2998612,33.61459873,Crosby County
-104.5177421,31.44709817,Culberson County
-102.6021647,36.27777107,Dallam County
-96.77781862,32.76653746,Dallas County
