,won
41385,0
39779,0
9964,0
24097,0
10367,0
859,0
1789,0
5626,0
70546,0
63180,0
44639,0
60616,0
65377,1
22056,0
55152,0
33968,0
57043,0
46960,1
70014,0
54145,0
71067,1
36254,0
73110,0
70087,0
3272,0
74483,0
32423,0
57379,0
60883,0
6420,0
20690,0
47079,0
59195,0
11837,0
70651,1
37221,1
21068,1
23352,0
13777,1
56406,0
50325,0
3539,0
42499,0
5042,0
21347,0
57565,0
40789,0
14594,0
16632,0
59646,0
45286,0
61781,0
11836,0
21502,0
1674,0
48584,1
22080,0
23390,1
63561,0
27467,0
47394,0
16107,0
24044,0
35915,0
54457,0
10370,0
46500,0
37340,0
69393,0
60331,0
11579,0
64966,0
18308,0
47956,0
53218,0
66255,0
17145,1
9698,0
56285,0
46014,0
16416,0
55843,0
55402,0
644,0
59873,0
72978,0
74978,0
42116,0
58632,0
26139,0
5144,0
19567,0
31877,0
71338,0
3217,0
41780,0
72090,0
49998,0
72783,1
54005,0
15433,0
10427,0
4203,0
17545,0
70877,0
65569,0
46347,0
66304,0
33212,0
70398,0
9273,1
60271,0
37386,0
73338,0
61319,0
54020,0
36929,0
46475,0
61069,1
14120,0
1586,0
34286,0
59492,0
1338,0
22533,0
396,0
278,1
7734,0
30541,0
24839,0
64847,0
56343,0
72192,0
18312,1
6547,0
52235,0
19851,0
2728,0
1173,1
40084,0
20118,0
41519,0
27318,0
8527,0
68189,0
1713,0
13746,1
387,0
14510,0
38164,0
68044,0
51326,0
36423,0
62700,0
28899,0
12189,0
21038,0
71389,0
73874,0
6723,0
61706,0
70355,0
33427,0
28777,0
7458,0
38201,0
71767,0
49618,0
70801,0
44458,0
20681,0
50316,0
15926,0
46346,0
2388,0
28006,0
73174,1
3536,0
48001,0
52202,0
72294,0
7143,0
58713,1
26076,0
54112,0
9170,0
18776,0
48912,0
12665,0
7883,0
20113,1
8308,0
43554,0
6428,0
1986,0
39654,0
71102,0
23835,0
40280,0
46388,0
14451,0
48314,0
72514,1
36056,0
39467,0
12267,0
18978,0
40489,1
52295,0
70766,0
13983,0
33536,0
41288,0
6407,0
57171,0
43589,0
33476,0
17937,0
14918,0
73228,0
47952,1
46833,0
52986,0
69747,0
5550,0
13872,1
25157,0
76706,0
21505,0
54066,0
60749,0
19932,0
63712,0
25465,0
55202,0
73334,0
50203,0
1398,0
36845,0
43821,0
63876,0
70906,0
8441,0
50460,0
21754,0
36717,0
7002,0
45722,0
49425,0
4652,1
59916,0
25490,0
62094,0
38136,0
18002,0
7307,1
69606,0
39774,0
43620,0
32701,0
42727,0
32527,0
37135,0
491,0
61636,0
63063,0
16496,0
4565,0
50352,0
37229,0
19729,0
71603,0
48850,0
62065,0
23920,0
36595,0
49550,1
58578,0
37503,0
75984,0
40573,1
36039,0
68932,0
17475,0
4168,0
12735,0
43432,0
48541,0
67298,0
32707,1
72831,0
50334,0
63151,0
59378,0
20065,1
52607,0
13319,0
51168,0
16955,0
37142,1
11613,0
18475,0
25406,0
68172,0
42416,0
33785,0
6921,1
49209,0
17781,0
51637,0
12238,0
51699,0
15228,0
52068,0
68631,1
51811,0
65367,0
42323,0
62867,0
19652,0
68227,0
40008,0
23278,0
39056,1
64956,0
23841,1
37917,0
26546,0
10326,0
19057,0
45607,0
69893,0
2583,0
66330,1
25793,0
15047,0
72848,0
52825,0
26922,1
19434,0
58874,0
26326,1
43622,0
53664,0
59489,0
70754,0
6135,0
23234,0
21810,0
1982,0
28048,0
70002,0
46400,0
69621,0
12163,0
51848,0
53277,0
31890,0
76090,0
27306,0
39112,1
38143,0
12316,0
56749,0
68349,0
29506,0
67978,0
36578,0
45076,0
73750,0
26450,0
34677,0
26847,0
34283,0
31476,0
31996,0
44003,1
24542,0
32289,0
41811,0
51296,1
24869,0
68065,0
51894,0
56469,0
51041,0
43293,0
16608,0
61999,0
15436,1
29994,0
5631,0
14404,0
76068,1
1594,0
53223,0
41555,0
1670,1
43245,0
65886,1
2874,0
7634,0
2872,0
17168,0
36258,0
73879,0
61257,1
22540,0
36428,0
33959,0
40910,0
72845,0
58894,0
47772,0
65390,0
55245,0
9061,0
36872,0
1927,0
4004,0
44071,1
32448,0
43744,0
18113,0
4974,0
10333,0
66062,0
19429,0
31833,0
46267,0
3138,0
29998,0
30182,0
46166,0
1123,0
29923,1
13985,0
6466,0
73343,0
3569,0
29459,1
30962,0
7812,0
21384,0
60587,0
67866,0
19643,0
