,won
47765,0
26078,0
45521,0
458,0
74050,0
14346,0
68228,0
1250,0
10242,0
5978,0
22304,0
17069,0
60934,1
73186,0
22466,0
2469,0
68909,0
50002,0
57447,0
3106,0
4026,0
54683,0
6365,0
22376,1
32534,0
63662,0
72921,0
73315,0
73076,0
50382,0
69638,0
46500,0
52993,0
22170,1
63739,0
6105,0
32525,0
66328,0
22595,0
56414,0
72087,0
15968,0
5374,0
19308,0
65359,1
31115,1
3843,0
56200,0
37499,0
52759,0
1336,0
29825,0
55570,0
1091,0
1967,0
11166,0
29127,0
658,0
73433,0
13519,0
4724,0
8558,0
14886,0
9684,0
13190,0
10181,0
12955,1
5488,0
48538,0
34179,0
37734,0
59889,0
30271,1
50060,0
35685,0
9718,0
41061,0
4312,1
28029,0
9023,0
7547,0
51321,0
62630,0
14957,0
44939,0
45246,0
34550,0
69171,1
5320,0
31402,1
60618,0
30474,0
39950,0
69418,0
20764,0
66474,0
6614,0
3393,0
31219,0
27481,0
40084,0
10012,0
12816,0
52372,0
73417,0
51606,0
69914,0
72878,0
17064,0
64754,0
6522,0
44232,0
4112,0
55354,0
62471,0
57362,0
56380,0
29848,0
22990,0
32329,0
3700,0
721,0
3295,0
5490,1
30989,0
47624,0
1857,0
41554,0
34505,0
59175,0
44152,0
44462,0
44217,0
65848,0
9906,1
75195,0
44688,0
25979,0
12458,0
22594,0
34706,0
60331,0
67259,0
4222,0
58652,1
10047,0
68856,0
61406,0
14203,0
56461,0
21528,0
31993,0
28753,0
6135,0
39892,0
10946,0
50204,0
9050,0
64390,1
16037,1
12718,0
26378,0
21753,0
7200,0
36718,0
7844,0
30586,0
22707,0
63152,1
18326,0
52729,1
3049,0
45439,0
41540,0
20490,0
42087,0
59769,0
33052,0
18721,0
76298,0
36322,0
44317,0
29871,0
75489,1
38014,0
26951,0
10064,0
53212,1
70964,0
32717,0
73855,0
52823,0
2570,0
47411,0
50137,0
39720,0
27242,0
37283,0
7451,0
8673,0
13405,0
42322,0
65405,0
2870,1
1566,0
13107,0
31789,1
63881,0
28757,0
42599,0
17474,1
27394,0
2278,0
12612,0
56466,0
19669,0
8398,0
28947,0
69898,0
22996,0
33611,0
46622,0
23445,1
67660,1
14278,0
14661,0
54072,0
23708,0
31664,0
70724,0
19640,0
69204,0
29290,0
36156,0
38755,0
14496,0
64744,1
72356,0
61792,0
50171,1
27877,0
54099,0
12951,0
18385,0
12010,0
65315,0
18672,0
4544,0
19073,0
47053,0
71595,0
14156,0
1797,1
640,0
19983,0
68884,0
13956,0
13103,0
36924,0
51948,0
32457,0
28777,0
27440,0
55727,0
3650,1
27821,0
12892,0
48978,0
3613,0
49558,0
11309,0
3872,0
45633,0
76202,0
34248,0
73675,0
22293,0
36949,0
56132,0
38384,0
19406,0
18167,0
30749,0
1256,1
63340,0
22177,0
15711,0
32273,0
53373,0
61330,0
73930,0
58697,0
51527,0
20814,0
47565,0
36223,0
34933,0
20089,1
58698,0
3928,0
69147,0
13172,0
49664,0
29151,0
10917,0
2908,0
50604,0
58639,0
43108,0
83,0
62662,0
52598,0
48647,0
46370,0
34958,0
65845,0
42964,0
44510,0
37583,1
75488,0
16604,0
30376,0
2876,0
4925,0
63904,0
35427,0
76067,0
15220,0
58467,0
48235,0
36174,0
36889,0
72465,0
26256,0
68442,0
44083,0
23838,0
20478,0
30912,0
33212,0
28488,0
50359,0
16975,0
47567,0
54121,0
26842,0
4664,0
23065,0
46415,0
36733,0
68165,0
75792,1
4494,0
60502,0
16552,0
51474,0
18987,0
70479,0
60311,0
70500,0
73764,0
59366,1
34621,0
32919,0
73000,0
33756,0
23280,0
28553,0
56073,0
61455,0
69519,0
32494,0
44417,0
49386,0
11769,0
71291,0
9668,0
46446,0
390,0
37764,0
9466,0
43135,0
36257,0
15776,0
41900,0
42702,0
42176,0
61546,0
25251,0
21531,0
70267,0
43070,0
69308,0
3209,0
18971,1
25531,0
33112,0
33098,0
58884,0
52368,1
23305,0
33731,0
67536,0
50877,0
52126,0
36551,0
59489,0
54537,0
38001,0
33074,0
51651,0
71376,0
20112,0
14889,0
65588,0
10765,0
2004,0
62042,0
40466,1
55723,0
32867,0
47918,0
45680,0
36559,0
5207,0
4653,0
11845,0
13039,0
33431,0
24247,0
4227,0
3870,0
59768,0
27674,0
25392,0
64576,0
36618,0
1787,0
24625,0
26043,0
17413,0
3568,0
52881,0
48344,0
75365,0
59720,0
69705,1
22131,0
7192,0
75458,0
28409,0
2745,0
19123,0
61765,0
6238,0
26484,0
73382,0
10365,0
72463,0
38213,0
296,0
60700,0
44230,1
14573,0
43644,1
18635,0
75747,1
31766,0
22124,0
75471,0
56425,0
30186,0
42316,0
51135,1
45080,0
75480,0
69119,0
9802,0
64679,0
54593,0
34752,0
31010,0
16089,0
41019,0
7630,0
31785,0
15734,0
65806,0
53515,0
70725,0
1018,0
31217,0
5154,0
4252,0
2383,0
18586,0
39341,0
23102,0
60915,0
75125,0
22562,0
43945,0
27655,0
15212,0
21332,0
58708,0
31768,0
28698,0
40073,0
70730,0
44072,0
33113,0
44562,0
6162,0
8319,0
75505,0
23200,0
44735,1
63711,0
57403,0
2496,0
58940,0
37678,0
45078,0
15060,0
71480,0
43730,0
75246,0
21345,1
8941,0
50370,0
22114,0
72705,0
76232,0
70198,0
74058,0
18778,0
61771,1
7798,0
26259,0
48064,0
21426,0
65210,0
58046,0
65752,0
477,1
33087,0
34827,0
58164,0
45924,0
22796,0
16297,0
42869,1
44731,0
39273,0
51164,0
73064,0
38161,0
43051,0
46516,0
42906,1
53343,0
9785,0
69397,0
43944,0
49867,0
12214,1
28536,0
33439,0
32055,0
57981,0
5815,0
32224,0
50143,0
52758,1
7184,0
73999,0
8770,0
40436,0
42318,0
57392,0
63463,0
29987,0
4036,0
68639,0
64407,0
35326,0
26645,0
22599,0
50507,0
47503,0
10655,0
8738,0
70794,0
74468,0
12967,1
69106,0
17610,0
69246,0
5554,0
71672,0
31839,0
58783,1
38422,0
30704,0
46005,1
40902,0
25794,0
709,0
48585,0
46383,0
17550,0
7846,0
28131,1
10328,0
26894,0
6028,0
49269,0
50125,0
72375,0
75397,0
53253,0
35280,0
37446,0
2200,0
10556,0
43979,0
26473,0
54538,0
8220,0
1627,0
61513,0
50856,0
18397,0
48546,0
60761,0
62550,0
35055,1
65850,0
70587,0
6853,0
56890,0
76337,1
30015,0
58692,0
8393,0
3987,0
61786,0
19765,1
40648,0
60159,0
19746,0
400,0
73336,0
70520,0
57588,0
31035,1
54807,0
41122,0
72579,0
43253,0
25210,0
22592,0
24978,0
30434,0
38855,0
18980,0
74184,1
43691,0
60472,0
6324,1
8306,0
56198,0
63659,0
59121,0
58328,0
8288,0
50644,0
17835,0
40883,0
34109,0
32000,0
23500,0
19979,0
